"DatasetSize","TimeTaken"
1000,1.100558354
1000,1.070123279
1000,0.99505462
1000,1.010537833
1000,1.021304216
10000,9.816960832
10000,9.683169006
10000,9.67882179
10000,9.727728969
10000,10.035728676
50000,50.368495653
50000,56.455789108
50000,53.768909328
50000,49.715606783
50000,56.754626595
1e+05,106.037053132
1e+05,110.856896045
1e+05,98.784961575
1e+05,96.519132746
1e+05,110.280198693
4e+05,394.657155239
4e+05,428.944565875
4e+05,401.050513219
4e+05,403.370255822
4e+05,383.790702329
